Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
PASD1,12,12,2,5,3,7,7,5,5,7,3,7,5,4,1,7,4,12,12,12,6,6,7,7,4,12,7,7,5,12,5,7,5,4,5,7,5,10,7,6,7,12,12,6,2,12,5,12,12,4,11,12,4,12,5,12,7,12,7,7,7,4,4,12,8,12,6,6,4,3,12,12,4,5,2,4,12,7,7,0,7,7,12,12,7,12,7,7,2,4,10,1,7,10,7,4
ZBTB49,5,5,11,4,7,13,13,7,6,13,7,13,6,4,3,13,8,5,5,5,9,4,13,13,2,5,13,13,12,5,3,13,5,6,7,13,2,1,13,1,13,5,5,7,2,5,4,5,5,6,7,5,3,5,3,5,13,5,13,13,13,2,2,5,5,5,2,6,4,4,5,5,4,2,5,1,5,13,13,4,13,13,5,5,13,5,8,3,4,5,5,5,13,6,13,5
ENG,21,15,1,1,5,8,3,13,2,4,10,8,2,1,2,12,2,27,0,37,2,2,1,13,1,37,33,8,2,0,1,3,0,4,1,8,9,0,68,5,13,30,0,11,3,4,2,6,15,4,2,27,5,21,1,24,4,6,68,9,22,12,11,30,6,24,12,0,2,1,11,11,8,3,2,5,0,9,14,4,12,1,10,4,33,10,4,1,20,5,0,0,22,15,14,16
SERPINE1,7,0,9,2,4,2,1,0,2,47,3,2,0,6,2,28,6,1,0,1,2,2,1,11,2,1,27,21,2,45,5,1,20,1,0,21,0,17,0,1,11,4,45,2,0,0,8,25,0,8,2,1,3,7,0,14,47,25,0,4,7,13,2,4,0,14,3,5,0,7,2,2,11,2,2,3,0,4,12,0,28,1,12,0,27,12,3,8,7,17,15,1,7,7,12,8
SAMM50,0,8,1,15,1,0,10,0,0,28,6,11,0,0,4,9,0,23,0,17,0,1,5,25,4,0,11,0,1,0,18,14,0,1,7,5,0,2,10,4,82,0,1,1,7,14,0,0,54,0,8,56,1,4,5,67,1,3,40,3,30,16,2,3,0,49,35,19,0,0,12,14,8,6,0,23,4,0,16,0,64,0,25,56,1,16,1,11,0,12,1,0,1,4,0,0
PAM16,15,20,2,7,1,6,18,2,1,20,3,34,0,1,33,18,2,15,25,13,4,4,28,20,12,1,33,6,33,17,2,28,2,4,34,0,0,3,10,10,23,44,9,2,5,3,25,44,1,0,17,1,2,17,3,5,1,27,20,23,11,8,20,1,1,5,4,17,2,27,25,5,2,9,2,6,0,34,15,28,18,20,2,23,44,6,10,27,1,6,3,0,2,6,4,3
AHSG,17,14,2,6,2,18,18,6,5,16,8,18,4,9,5,18,1,15,14,19,2,9,14,11,2,19,13,17,8,12,5,18,6,4,5,17,7,8,23,1,11,12,12,8,3,9,9,19,14,6,7,15,7,17,2,12,16,19,23,12,10,5,5,12,5,12,6,9,2,6,19,19,6,6,4,2,14,12,12,5,18,14,8,9,13,8,3,3,4,11,5,4,10,1,12,0
ALX3,9,13,3,7,4,12,16,8,9,14,5,12,8,4,8,15,3,16,16,7,8,5,12,20,6,7,15,19,4,20,4,16,1,9,4,19,3,11,14,4,20,14,20,4,6,14,3,20,13,5,6,16,4,9,4,19,14,20,14,16,13,6,6,14,5,19,4,6,5,3,14,14,6,3,3,3,16,16,17,8,15,12,14,14,15,14,7,3,7,5,7,4,13,1,17,6
AMELX,9,19,4,4,6,16,13,3,3,18,7,16,0,9,2,17,6,19,12,12,3,8,12,14,3,12,12,11,7,12,7,13,4,6,4,11,7,4,10,3,14,14,12,3,4,8,5,17,19,5,8,19,9,9,4,14,18,17,10,18,18,8,7,14,1,14,3,5,5,7,15,15,5,9,9,4,12,18,23,9,17,12,19,8,12,19,1,3,5,6,7,6,18,3,23,4
ARSE,14,20,7,6,5,14,15,6,5,16,3,14,9,3,4,19,5,7,20,14,3,7,16,12,5,14,17,20,3,19,5,15,3,4,6,20,5,3,13,4,12,16,19,4,8,14,9,9,20,8,3,7,5,14,3,13,16,9,13,12,15,5,4,16,12,13,6,2,11,3,16,16,2,7,8,6,20,12,14,8,19,16,14,14,17,14,7,6,3,6,3,2,15,6,14,5
BGLAP,11,18,5,6,4,14,17,3,6,19,2,14,6,7,8,19,10,16,12,18,5,4,12,14,8,18,9,12,7,23,10,17,6,9,5,12,7,2,19,10,14,13,23,5,10,14,7,17,18,3,4,16,7,11,3,10,19,17,19,12,15,4,4,13,2,10,4,6,8,6,18,18,12,6,3,2,12,12,8,3,19,12,12,14,9,12,3,4,7,6,13,4,15,2,8,1
SERPINH1,19,12,6,5,6,12,16,3,4,18,5,12,3,5,3,10,6,19,12,15,7,6,11,17,4,15,18,18,5,14,3,16,5,5,3,18,4,4,12,10,17,19,14,4,3,17,4,14,12,2,3,19,4,19,5,12,18,14,12,14,23,1,6,19,7,12,6,4,4,3,8,8,3,4,4,5,12,14,13,4,10,11,9,17,18,9,9,4,7,5,6,5,23,4,13,7
CHAD,14,15,10,2,3,14,20,1,8,16,4,14,3,6,3,14,4,20,12,12,3,8,16,14,2,12,19,14,3,14,6,20,4,5,4,14,5,5,20,8,14,16,14,9,6,13,7,17,15,6,8,20,7,14,8,16,16,17,20,7,9,6,1,16,3,16,7,8,4,3,19,19,2,3,5,2,12,7,13,3,14,16,15,13,19,15,2,6,6,8,5,5,9,3,13,4
CMKLR1,9,19,2,4,3,16,13,6,5,18,6,16,5,6,7,17,7,19,12,12,8,1,12,14,11,12,12,11,5,12,7,13,11,5,3,11,4,6,10,4,14,14,12,5,7,8,4,17,19,8,6,19,6,9,6,14,18,17,10,18,18,5,7,14,4,14,6,7,4,7,15,15,2,7,6,4,12,18,23,3,17,12,19,8,12,19,4,8,7,5,2,5,18,8,23,5
COL2A1,8,17,5,1,7,18,12,5,7,13,4,18,3,3,5,11,7,12,12,14,6,8,18,12,9,14,23,14,5,14,3,12,5,5,7,14,2,4,18,7,12,12,14,1,6,19,6,9,17,11,3,12,3,8,2,19,13,9,18,16,17,3,7,12,5,19,9,6,5,0,19,19,7,6,4,1,12,16,10,6,11,18,15,19,23,15,4,7,7,4,9,7,17,8,10,5
COL9A2,19,13,6,5,5,19,20,3,5,13,4,19,7,5,6,16,8,12,15,14,5,6,16,14,6,14,9,7,2,17,10,20,6,6,7,7,6,3,14,7,14,16,17,7,3,20,6,15,13,4,5,12,1,19,6,14,13,15,14,20,14,4,3,16,6,14,7,3,5,5,16,16,5,5,1,2,15,20,14,6,16,16,12,20,9,12,5,8,8,4,10,8,14,3,14,5
COL10A1,11,18,8,10,1,14,17,4,3,19,4,14,8,5,5,19,5,16,12,18,6,6,12,14,10,18,9,12,5,23,5,17,7,3,5,12,6,9,19,2,14,13,23,2,10,14,2,17,18,6,7,16,4,11,7,10,19,17,19,12,15,3,2,13,2,10,7,4,6,7,18,18,8,6,11,12,12,12,8,5,19,12,12,14,9,12,6,3,2,1,3,3,15,10,8,5
COL11A1,15,8,4,5,8,12,10,5,3,23,6,12,3,5,2,12,6,12,19,12,9,5,18,16,9,12,18,18,8,17,5,10,5,5,6,18,4,3,11,5,16,14,17,9,5,19,4,19,8,4,3,12,6,15,5,9,23,19,11,13,14,4,5,14,7,9,7,6,8,5,14,14,8,5,3,4,19,13,17,5,12,18,12,19,18,12,2,6,7,6,5,5,14,2,17,6
COL11A2,20,15,8,3,7,13,9,3,3,20,2,13,4,3,6,7,3,14,17,16,5,2,20,16,4,16,14,14,7,14,4,9,3,5,7,14,4,4,14,7,16,15,14,6,2,12,4,19,15,6,5,14,5,20,4,13,20,19,14,19,16,7,9,15,4,13,3,6,7,8,12,12,5,6,6,8,17,19,14,7,7,20,16,12,14,16,4,6,3,3,5,3,16,6,14,4
COL12A1,16,14,7,10,3,17,13,5,7,14,4,17,7,5,3,16,6,20,20,19,3,6,16,14,2,19,15,12,6,9,4,13,6,9,7,12,7,3,20,7,14,13,9,8,5,7,5,14,14,8,3,20,8,16,8,14,14,14,20,15,12,4,4,13,6,14,4,6,6,2,16,16,3,1,6,2,20,15,19,3,16,16,14,7,15,14,9,2,5,3,3,3,12,12,19,5
COL13A1,19,19,5,7,5,23,18,7,3,10,8,23,5,8,8,18,6,12,17,14,7,6,13,18,4,14,17,16,6,9,5,18,5,3,1,16,5,3,14,5,18,19,9,1,8,12,6,15,19,3,13,12,7,19,5,8,10,15,14,12,12,5,8,19,5,8,5,3,3,5,12,12,3,5,4,2,17,12,11,2,18,13,14,12,17,14,8,3,8,5,3,4,12,3,11,5
COL19A1,12,19,4,5,8,20,14,7,7,9,4,20,4,5,9,14,4,16,14,15,4,7,19,20,10,15,14,16,4,13,4,14,6,5,4,16,5,8,16,5,20,17,13,2,7,16,9,20,19,3,1,16,3,12,3,15,9,20,16,13,7,5,6,17,8,15,8,7,4,6,14,14,7,3,2,4,14,13,14,12,14,19,12,16,14,12,7,6,8,4,8,2,7,4,14,5
COMP,12,11,4,10,4,17,8,2,0,9,7,17,3,5,2,14,8,13,10,12,7,5,14,12,5,12,19,12,5,18,7,8,3,4,4,12,6,3,19,9,12,23,18,4,6,18,7,14,11,7,5,13,4,12,4,17,9,14,19,19,12,7,9,23,3,17,11,7,5,6,18,18,4,5,5,5,10,19,15,5,14,14,16,18,19,16,5,8,5,6,2,8,12,2,15,4
HAPLN1,12,15,5,7,7,10,17,5,5,18,6,10,4,7,1,16,4,14,9,19,3,7,12,13,6,19,11,18,3,8,8,17,5,10,2,18,6,8,12,3,13,17,8,3,5,14,4,19,15,4,2,14,9,12,5,19,18,19,12,23,18,8,7,17,2,19,5,5,8,6,12,12,6,3,9,4,9,23,14,7,16,12,12,14,11,12,10,3,5,4,7,3,18,5,14,2
DSPP,16,12,2,6,3,14,7,2,5,16,2,14,1,8,6,13,8,13,20,15,7,7,14,9,3,15,14,20,5,12,9,7,6,5,9,20,7,5,20,5,9,19,12,3,3,15,8,14,12,1,5,13,4,16,2,16,16,14,20,14,19,4,11,19,5,16,1,5,6,6,14,14,4,9,4,4,20,14,16,4,13,14,17,15,14,17,4,5,3,6,5,3,19,8,16,4
EVC,20,19,7,5,4,16,14,4,6,12,7,16,3,9,2,13,8,14,14,16,6,4,20,19,4,16,16,15,5,16,5,14,6,4,4,15,4,3,17,5,19,7,16,4,6,9,2,13,19,4,4,14,2,20,5,20,12,13,17,12,14,3,5,7,4,20,4,7,6,7,14,14,4,4,4,5,14,12,15,6,13,20,14,9,16,14,6,4,5,5,8,2,14,7,15,4
EXTL1,9,13,3,7,4,12,16,6,8,14,3,12,5,3,7,15,4,16,16,7,6,5,12,20,6,7,15,19,6,20,3,16,3,10,10,19,7,4,14,7,20,14,20,4,5,14,1,20,13,1,3,16,5,9,3,19,14,20,14,16,13,2,3,14,6,19,4,5,7,6,14,14,5,6,7,8,16,16,17,7,15,12,14,14,15,14,3,6,8,1,8,5,13,3,17,5
FBN1,13,17,4,5,5,16,19,6,3,20,8,16,9,4,10,14,8,12,14,16,6,5,7,16,4,16,13,14,5,16,7,19,3,4,5,14,6,5,9,5,16,12,16,3,6,15,6,14,17,11,5,12,3,13,1,15,20,14,9,14,14,4,4,12,4,15,4,9,4,3,20,20,5,3,4,4,14,14,20,4,14,7,19,15,13,19,9,6,2,11,6,6,14,5,20,6
FBN2,14,20,5,4,2,14,15,4,6,16,6,14,4,6,7,19,3,7,20,14,5,7,16,12,4,14,17,20,2,19,3,15,5,8,12,20,7,3,13,6,12,16,19,10,7,14,4,9,20,6,4,7,9,14,5,13,16,9,13,12,15,2,5,16,2,13,4,4,1,4,16,16,5,2,1,7,20,12,14,3,19,16,14,14,17,14,8,0,2,9,7,4,15,1,14,5
EFEMP1,8,17,5,5,1,18,12,5,1,13,1,18,5,4,4,11,4,12,12,14,5,3,18,12,3,14,23,14,7,14,9,12,10,4,5,14,4,5,18,2,12,12,14,6,3,19,2,9,17,4,5,12,3,8,3,19,13,9,18,16,17,5,4,12,3,19,5,6,3,6,19,19,9,4,4,6,12,16,10,3,11,18,15,19,23,15,5,6,6,6,5,3,17,5,10,9
FRZB,16,20,2,9,9,9,14,5,3,14,4,9,3,5,0,16,7,15,13,17,6,6,13,19,7,17,14,20,2,15,7,14,4,4,2,20,3,5,7,4,19,14,15,7,4,12,6,12,20,9,7,15,5,16,5,19,14,12,7,20,14,5,3,14,5,19,5,4,11,4,16,16,3,5,3,3,13,20,16,6,16,13,14,12,14,14,3,7,6,6,7,4,14,6,16,10
GJA5,16,7,6,5,6,15,20,5,4,19,4,15,6,10,2,16,8,20,14,9,6,4,14,17,4,9,12,15,2,14,3,20,8,3,4,15,6,7,12,3,17,14,14,5,3,20,4,14,7,4,4,20,4,16,6,16,19,14,12,13,14,2,9,14,6,16,4,3,7,9,13,13,5,3,3,4,14,13,16,6,16,14,19,20,12,19,8,2,8,5,3,2,14,10,16,5
HOXA1,19,12,7,3,4,12,16,3,8,18,3,12,5,10,5,10,6,19,12,15,6,3,11,17,2,15,18,18,2,14,10,16,10,6,3,18,6,8,12,3,17,19,14,7,3,17,3,14,12,7,2,19,4,19,7,12,18,14,12,14,23,7,7,19,7,12,2,3,6,7,8,8,2,6,6,10,12,14,13,12,10,11,9,17,18,9,6,7,2,5,5,5,23,5,13,7
HOXA13,18,23,3,5,2,12,14,3,6,12,4,12,4,2,5,19,3,12,18,18,5,8,12,19,7,18,19,15,4,13,7,14,5,6,3,15,4,6,9,2,19,16,13,5,5,17,5,10,23,3,5,12,9,18,2,12,12,10,9,14,8,5,7,16,4,12,6,6,5,2,14,14,5,6,2,9,18,14,17,4,19,12,11,17,19,11,11,4,7,9,3,9,8,3,17,3
HOXB1,14,20,5,4,3,14,15,1,9,16,7,14,4,4,6,19,3,7,20,14,3,7,16,12,2,14,17,20,3,19,4,15,11,9,6,20,4,5,13,4,12,16,19,5,3,14,7,9,20,10,6,7,3,14,8,13,16,9,13,12,15,5,2,16,5,13,6,6,5,6,16,16,4,3,7,6,20,12,14,7,19,16,14,14,17,14,6,6,8,7,4,9,15,7,14,7
HOXB9,14,14,7,4,7,15,14,4,4,17,7,15,6,5,9,12,9,16,13,20,1,6,14,12,4,20,13,16,4,20,6,14,8,1,7,16,6,5,19,8,12,19,20,7,2,16,4,14,14,3,6,16,11,14,6,9,17,14,19,16,20,4,6,19,10,9,2,4,6,7,14,14,5,3,7,1,13,16,15,9,12,14,7,16,13,7,2,6,2,3,5,11,20,10,15,5
HOXC9,19,19,4,10,6,23,18,7,2,10,3,23,8,6,8,18,4,12,17,14,6,1,13,18,5,14,17,16,5,9,11,18,4,4,5,16,11,6,14,6,18,19,9,4,3,12,1,15,19,7,5,12,9,19,4,8,10,15,14,12,12,3,8,19,2,8,2,6,8,5,12,12,6,2,4,2,17,12,11,2,18,13,14,12,17,14,6,3,3,3,3,4,12,5,11,5
HOXD1,7,14,10,8,3,14,15,7,4,13,2,14,6,5,5,12,2,19,9,13,6,8,15,16,4,13,19,14,7,14,7,15,3,8,2,14,5,3,12,8,16,20,14,2,2,14,2,16,14,8,4,19,3,7,8,14,13,16,12,17,16,8,5,20,5,14,4,6,13,6,20,20,6,9,3,4,9,17,20,2,12,15,16,14,19,16,4,5,2,1,3,5,16,7,20,1
HOXD12,12,12,3,5,7,14,14,3,3,14,3,14,6,4,2,20,9,17,15,14,5,3,20,13,4,14,16,19,7,19,8,14,9,5,8,19,3,5,14,2,13,13,19,1,9,14,3,16,12,4,4,17,4,12,8,20,14,16,14,9,16,5,5,13,7,20,2,6,10,4,15,15,6,5,5,5,15,9,7,14,20,20,16,14,16,16,4,6,1,3,2,7,16,4,7,8
HSD17B1,16,7,4,10,6,15,20,4,5,19,7,15,10,6,5,16,8,20,14,9,7,6,14,17,3,9,12,15,4,14,4,20,8,2,7,15,9,4,12,6,17,14,14,10,3,20,3,14,7,5,5,20,5,16,5,16,19,14,12,13,14,6,9,14,7,16,2,4,4,2,13,13,4,2,5,3,14,13,16,5,16,14,19,20,12,19,5,0,6,5,4,2,14,0,16,4
INPPL1,13,20,8,3,4,12,12,2,1,16,2,12,3,6,2,14,3,14,7,14,7,5,19,15,5,14,14,13,5,14,6,12,3,2,4,13,6,3,15,6,15,16,14,6,5,20,9,19,20,3,8,14,2,13,6,16,16,19,15,20,17,5,5,16,7,16,4,7,5,6,14,14,9,10,5,5,7,20,16,1,14,19,9,20,14,9,5,5,6,3,2,3,17,2,16,8
INSIG1,19,12,6,2,6,12,16,4,5,18,6,12,2,4,4,10,6,19,12,15,2,4,11,17,5,15,18,18,3,14,7,16,6,5,5,18,7,3,12,1,17,19,14,2,6,17,1,14,12,3,10,19,7,19,5,12,18,14,12,14,23,4,3,19,5,12,2,3,5,0,8,8,3,6,4,3,12,14,13,1,10,11,9,17,18,9,4,9,6,6,4,1,23,3,13,2
LECT2,17,14,7,4,9,18,18,9,7,16,2,18,3,8,2,18,5,15,14,19,5,5,14,11,6,19,13,17,3,12,6,18,9,4,6,17,7,5,23,2,11,12,12,5,8,9,6,19,14,3,7,15,3,17,7,12,16,19,23,12,10,8,2,12,5,12,6,3,9,10,19,19,4,6,9,7,14,12,12,8,18,14,8,9,13,8,5,6,8,7,4,4,10,4,12,5
LTF,18,23,2,7,6,12,14,4,4,12,5,12,4,6,5,19,4,12,18,18,4,6,12,19,1,18,19,15,9,13,9,14,8,9,4,15,6,8,9,6,19,16,13,9,4,17,6,10,23,2,8,12,0,18,7,12,12,10,9,14,8,4,6,16,2,12,4,3,1,4,14,14,5,2,3,5,18,14,17,4,19,12,11,17,19,11,6,4,9,5,9,4,8,3,17,3
MATN3,15,8,9,6,5,12,10,6,8,23,4,12,8,6,6,12,6,12,19,12,7,4,18,16,9,12,18,18,2,17,4,10,8,5,7,18,5,7,11,2,16,14,17,2,2,19,7,19,8,5,3,12,5,15,4,9,23,19,11,13,14,5,6,14,3,9,5,7,7,4,14,14,5,3,7,7,19,13,17,7,12,18,12,19,18,12,5,9,2,7,6,4,14,3,17,10
MGP,12,11,6,4,5,17,8,4,4,9,7,17,2,6,4,14,4,13,10,12,6,3,14,12,6,12,19,12,12,18,3,8,2,4,4,12,4,6,19,6,12,23,18,5,4,18,4,14,11,2,3,13,7,12,3,17,9,14,19,19,12,10,3,23,5,17,2,2,5,6,18,18,6,5,5,3,10,19,15,3,14,14,16,18,19,16,6,3,5,2,5,2,12,4,15,2
MMP13,16,20,3,5,0,9,14,4,5,14,10,9,3,8,7,16,3,15,13,17,4,8,13,19,5,17,14,20,4,15,7,14,3,5,5,20,4,3,7,4,19,14,15,3,1,12,4,12,20,6,2,15,4,16,4,19,14,12,7,20,14,7,6,14,3,19,3,2,1,4,16,16,6,4,3,5,13,20,16,5,16,13,14,12,14,14,5,5,4,3,9,7,14,5,16,7
MMP16,14,19,8,5,3,18,11,8,4,17,5,18,4,9,8,18,7,19,8,17,2,4,23,12,4,17,14,13,4,19,7,11,4,5,1,13,3,4,18,6,12,9,19,3,2,12,6,12,19,3,2,19,6,14,3,15,17,12,18,10,16,8,7,9,2,15,7,9,6,2,14,14,4,6,4,5,8,10,12,4,18,23,12,12,14,12,1,4,16,3,6,2,16,8,12,3
NOV,14,12,7,6,10,14,18,1,6,12,3,14,4,2,3,23,4,8,19,19,10,5,17,18,2,19,16,10,8,12,9,18,3,3,10,10,6,5,13,5,18,15,12,2,5,19,4,12,12,2,2,8,5,14,6,14,12,12,13,11,12,4,11,15,2,14,5,5,2,4,9,9,2,7,8,6,19,11,18,4,23,17,17,19,16,17,6,6,5,3,5,1,12,3,18,6
NPR3,13,20,8,6,8,12,12,4,4,16,6,12,5,5,6,14,5,14,7,14,10,4,19,15,5,14,14,13,8,14,6,12,4,3,7,13,3,4,15,3,15,16,14,11,6,20,9,19,20,5,3,14,5,13,4,16,16,19,15,20,17,9,5,16,4,16,10,5,5,4,14,14,4,7,12,6,7,20,16,6,14,19,9,20,14,9,1,5,5,4,3,2,17,5,16,5
PHEX,17,10,5,3,2,12,19,1,6,14,3,12,6,5,3,15,8,18,13,16,5,2,14,12,3,16,17,19,1,12,8,19,6,5,6,19,14,7,8,9,12,18,12,3,6,11,3,18,10,4,6,18,5,17,4,23,14,18,8,12,19,7,3,18,4,23,1,6,3,7,12,12,8,7,7,5,13,12,9,5,15,14,14,11,17,14,6,7,3,5,9,7,19,5,9,2
PLS3,20,15,3,2,10,13,9,2,1,20,2,13,6,7,7,7,4,14,17,16,3,5,20,16,4,16,14,14,3,14,5,9,4,7,2,14,1,3,14,4,16,15,14,5,4,12,6,19,15,11,5,14,4,20,5,13,20,19,14,19,16,5,3,15,1,13,6,7,6,7,12,12,3,3,3,4,17,19,14,7,7,20,16,12,14,16,5,3,2,5,7,6,16,2,14,4
PTH1R,16,12,4,7,6,8,15,7,3,19,3,8,6,6,6,12,3,23,17,10,5,5,17,19,5,10,19,14,4,11,10,15,3,2,5,14,4,5,14,5,19,18,11,7,5,18,6,18,12,4,9,23,11,16,5,14,19,18,14,9,12,5,7,18,6,14,7,5,8,1,12,12,7,6,3,4,17,9,12,5,12,17,13,18,19,13,4,3,4,2,7,4,12,4,12,6
PTPRC,18,18,4,3,9,19,19,5,5,15,5,19,4,6,3,14,8,10,11,18,2,10,9,17,6,18,12,19,6,14,6,19,3,4,4,19,6,8,12,2,17,17,14,4,1,13,3,16,18,7,4,10,4,18,1,12,15,16,12,8,12,6,9,17,5,12,6,7,4,6,23,23,4,4,2,4,11,8,14,6,14,9,12,13,12,12,8,2,7,6,6,3,12,4,14,1
RYR1,12,18,6,2,5,19,14,5,5,12,3,19,8,6,3,17,5,17,12,11,3,6,19,8,4,11,12,9,4,18,3,14,4,4,5,9,6,6,14,6,8,14,18,7,7,23,4,13,18,3,3,17,2,12,3,16,12,13,14,15,19,5,3,14,5,16,8,2,2,6,18,18,3,7,5,5,12,15,12,7,17,19,10,23,12,10,2,6,3,9,9,3,19,6,12,7
SPP2,20,15,6,0,6,13,9,8,3,20,3,13,2,7,4,7,4,14,17,16,7,7,20,16,5,16,14,14,1,14,6,9,5,5,8,14,5,8,14,8,16,15,14,11,5,12,5,19,15,2,6,14,9,20,6,13,20,19,14,19,16,5,2,15,8,13,6,6,4,3,12,12,3,6,4,5,17,19,14,4,7,20,16,12,14,16,2,5,4,5,4,3,16,3,14,5
TCOF1,16,7,5,4,4,15,20,3,3,19,4,15,7,4,4,16,5,20,14,9,9,8,14,17,5,9,12,15,5,14,4,20,3,7,2,15,4,6,12,3,17,14,14,3,11,20,8,14,7,6,8,20,5,16,4,16,19,14,12,13,14,4,8,14,6,16,5,6,5,4,13,13,4,2,4,1,14,13,16,6,16,14,19,20,12,19,3,5,5,3,10,7,14,3,16,7
TGFBI,14,12,1,3,7,14,18,3,4,12,5,14,3,7,11,23,6,8,19,19,6,4,17,18,7,19,16,10,8,12,7,18,3,4,6,10,4,1,13,3,18,15,12,7,3,19,6,12,12,8,4,8,1,14,5,14,12,12,13,11,12,7,1,15,5,14,3,5,5,3,9,9,6,4,5,4,19,11,18,6,23,17,17,19,16,17,4,6,13,3,4,6,12,3,18,3
THBS3,19,12,7,3,7,12,16,4,4,18,4,12,9,4,4,10,7,19,12,15,9,5,11,17,4,15,18,18,3,14,4,16,1,6,0,18,5,8,12,2,17,19,14,7,6,17,4,14,12,9,5,19,8,19,7,12,18,14,12,14,23,4,4,19,1,12,2,3,4,11,8,8,3,3,7,4,12,14,13,3,10,11,9,17,18,9,3,6,4,8,5,2,23,4,13,4
TLL1,17,14,7,10,7,18,18,9,4,16,2,18,6,5,4,18,3,15,14,19,0,4,14,11,4,19,13,17,7,12,2,18,5,5,6,17,6,4,23,3,11,12,12,4,5,9,8,19,14,3,2,15,3,17,5,12,16,19,23,12,10,6,5,12,5,12,5,1,12,5,19,19,8,6,9,6,14,12,12,4,18,14,8,9,13,8,0,7,5,1,5,3,10,5,12,4
TULP3,9,13,6,3,2,12,16,4,7,14,6,12,4,6,2,15,6,16,16,7,8,3,12,20,8,7,15,19,15,20,6,16,7,5,5,19,10,6,14,3,20,14,20,4,5,14,7,20,13,5,2,16,3,9,11,19,14,20,14,16,13,7,8,14,5,19,1,8,6,5,14,14,9,2,7,7,16,16,17,5,15,12,14,14,15,14,7,5,3,1,3,7,13,2,17,5
TYROBP,14,20,7,4,5,14,15,4,6,16,7,14,5,6,8,19,6,7,20,14,0,7,16,12,5,14,17,20,5,19,5,15,3,8,6,20,3,5,13,3,12,16,19,6,7,14,0,9,20,3,1,7,5,14,3,13,16,9,13,12,15,5,4,16,6,13,5,2,10,1,16,16,3,3,5,5,20,12,14,2,19,16,14,14,17,14,8,5,3,7,9,1,15,5,14,4
USP1,15,14,3,6,3,20,13,6,2,19,7,20,5,7,2,14,9,16,16,12,10,6,14,7,6,12,20,16,5,15,6,13,3,10,4,16,3,12,14,5,7,14,15,4,3,19,7,13,14,3,4,16,1,15,9,17,19,13,14,16,14,5,1,14,1,17,8,8,9,6,12,12,5,7,1,3,16,16,9,4,14,14,20,19,20,20,7,6,5,3,7,0,14,9,9,6
ZFAND5,14,19,6,5,5,18,11,3,1,17,7,18,6,9,2,18,2,19,8,17,6,4,23,12,2,17,14,13,4,19,3,11,4,0,3,13,6,3,18,3,12,9,19,6,0,12,6,12,19,9,6,19,4,14,5,15,17,12,18,10,16,2,4,9,2,15,4,3,4,11,14,14,5,1,7,8,8,10,12,7,18,23,12,12,14,12,5,2,5,5,8,7,16,6,12,3
GPR68,12,12,4,2,5,17,14,3,1,11,3,17,3,6,8,13,2,17,19,9,6,9,10,23,4,9,12,12,3,15,4,14,8,3,5,12,7,6,16,4,23,8,15,3,6,12,4,14,12,4,5,17,1,12,6,19,11,14,16,18,18,13,2,8,2,19,6,4,12,4,19,19,9,5,8,6,19,18,18,3,13,10,14,12,12,14,2,5,2,5,2,8,18,11,18,8
PRKRA,14,12,1,4,3,14,18,2,4,12,4,14,6,4,4,23,2,8,19,19,2,6,17,18,5,19,16,10,6,12,1,18,3,6,7,10,7,5,13,4,18,15,12,6,6,19,6,12,12,8,4,8,7,14,1,14,12,12,13,11,12,5,6,15,4,14,3,5,7,5,9,9,5,3,5,5,19,11,18,5,23,17,17,19,16,17,5,2,6,5,6,6,12,4,18,6
DCHS1,13,20,5,11,8,12,12,6,3,16,4,12,10,11,2,14,5,14,7,14,6,4,19,15,1,14,14,13,8,14,6,12,5,5,6,13,10,1,15,3,15,16,14,5,5,20,2,19,20,6,2,14,6,13,3,16,16,19,15,20,17,5,7,16,4,16,10,6,1,10,14,14,4,4,3,4,7,20,16,8,14,19,9,20,14,9,4,3,6,7,2,5,17,0,16,5
CHRD,19,12,6,4,4,12,16,3,3,18,5,12,7,5,3,10,3,19,12,15,4,5,11,17,9,15,18,18,2,14,1,16,2,5,4,18,4,4,12,3,17,19,14,0,1,17,7,14,12,4,6,19,5,19,5,12,18,14,12,14,23,1,4,19,5,12,6,4,3,4,8,8,5,3,6,7,12,14,13,4,10,11,9,17,18,9,2,6,5,2,2,5,23,6,13,6
